,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
18,AUDI A6,RS6 Avant 4.0 TFSI quattro Tiptronic,2014,Barcelona,169000,2014-02-01,0,Negro,C,49990,130414.0,4979.0,1936.0,1461.0,2.915,565/1.680,2.565,Stationwagon,5.0,5.0,Gasolina,3.9930000000000003,8,Turbo,Tracción total permanente,Automática secuencial,8.0,412.0,,700.0,250.0,3.9,13.9,7.5,9.8,229.0,7500.0,Vendedor profesional,2020-11-06
19,AUDI A3,Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW,2019,Barcelona,16216,2019-07-01,24,Azul,C,26000,34976.0,4313.0,1785.0,1426.0,2.637,380/1.220,1.8,Berlina,5.0,5.0,Gasolina,1.4980000000000002,4,Turbo,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,220.0,8.2,6.2,4.3,5.0,114.0,5000.0,Vendedor profesional,2020-10-09
20,AUDI A5,Sportback 40 TFSI Sport S tronic 140kW,2019,Barcelona,25593,2019-02-01,24,Gris,C,35900,50552.0,4733.0,1843.0,1386.0,2.824,480/0,2.105,Berlina,5.0,5.0,Gasolina,1.984,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,140.0,,320.0,240.0,7.5,7.7,5.0,5.9,135.0,5800.0,Vendedor profesional,2020-10-26
21,AUDI A1,Sportback 25 TFSI Advanced,2020,Barcelona,101,2020-08-01,24,Blanco,C,19100,22935.0,4030.0,1740.0,1410.0,2.469,335/920,1.63,Berlina,5.0,5.0,Gasolina,999.0,3,Turbo,Tracción delantera,Manual,5.0,70.0,,175.0,191.0,10.8,5.8,3.9,4.6,110.0,4000.0,Vendedor profesional,2020-10-05
22,AUDI Q3,35 TDI S line S tronic 110kW,2019,Barcelona,11300,2019-12-01,24,Blanco,C,34900,44448.0,4484.0,1849.0,1616.0,2.68,530/1.525,2.085,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,110.0,,340.0,207.0,9.2,6.1,3.2,4.7,121.0,6400.0,Vendedor profesional,2020-10-26
23,AUDI Q3,35 TDI S line S tronic 110kW,2020,Barcelona,2580,2020-01-01,24,Blanco,C,34900,44448.0,4484.0,1849.0,1616.0,2.68,530/1.525,2.085,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,110.0,,340.0,207.0,9.2,6.1,3.2,4.7,121.0,6400.0,Vendedor profesional,2020-10-26
24,AUDI A4,2.0TDI CD 150 S line edition (4.75),2015,Valencia,86800,2015-01-01,12,Negro,C,18970,36235.0,4701.0,1826.0,1427.0,2.8080000000000003,480/962,2.09,Berlina,4.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,110.0,,320.0,216.0,9.2,5.3,3.8,4.7,124.0,6300.0,Vendedor profesional,2020-10-29
25,AUDI A3,Sedán 1.6TDI CD Attracted 110,2016,Madrid,73097,2016-06-01,0,Negro,C,14999,26416.0,4456.0,1796.0,1416.0,2.637,425/0,1.825,Berlina,4.0,5.0,Diesel,1.598,4,Turbo de geometría variable,Tracción delantera,Manual,6.0,81.0,,250.0,198.0,10.9,4.6,3.5,3.9,104.0,5000.0,Vendedor profesional,2020-11-06
27,no link (0012),55 quattro Black line edition,2020,Barcelona,6000,2020-01-01,24,Gris,0 EMISIONES,79900,97685.0,4901.0,1935.0,1629.0,2.928,600/1.725,3.13,Todo Terreno,5.0,5.0,Corriente eléctrica,0.0,-,no link (0012),Todo terreno tracción total permanente,"Directo, sin caja de cambios",1.0,300.0,,664.0,200.0,6.6,0.0,0.0,0.0,0.0,0.0,Vendedor profesional,2020-10-30
28,AUDI A7,Sportback 50 TDI quattro tiptronic 210kW,2018,Guipúzcoa,28000,2018-02-01,12,Gris,ECO,59100,80073.0,4969.0,1908.0,1422.0,2.926,535/1.390,2.535,Coupe,5.0,4.0,Diesel,2.967,6,Turbo de geometría variable,Tracción total permanente,Automática secuencial,8.0,210.0,,620.0,250.0,5.7,6.4,5.4,5.6,145.0,6300.0,Vendedor profesional,2020-11-06
29,AUDI A3,Sportback 35 TFSI S line S tronic 110kW,2019,Barcelona,12357,2019-09-01,24,Blanco,C,25000,35047.0,4313.0,1785.0,1426.0,2.637,380/1.220,1.8,Berlina,5.0,5.0,Gasolina,1.495,4,Turbo,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,220.0,8.2,6.4,4.3,5.0,117.0,5000.0,Vendedor profesional,2020-11-06
30,AUDI Q2,1.6TDI Sport edition 85kW,2020,Barcelona,101,2020-08-01,24,Negro,C,27000,30180.0,4191.0,1794.0,1508.0,2.6010000000000004,405/1.050,1.87,Todo Terreno,5.0,5.0,Diesel,1.598,4,Turbo,Tracción delantera,Manual,6.0,85.0,,250.0,197.0,10.3,5.0,4.3,4.6,118.0,5000.0,Vendedor profesional,2020-10-26
31,no link (0012),4.2 FSI quattro R tronic,2010,Madrid,89000,2010-01-01,0,Negro Metalizado,C,55000,135660.0,4431.0,1904.0,1252.0,2.65,90/100,1.865,Coupe,2.0,2.0,Gasolina,4.163,8,no link (0012),Tracción total permanente,Automática secuencial,6.0,309.0,,430.0,301.0,4.6,20.4,9.6,13.6,325.0,7500.0,Vendedor profesional,2020-11-06
33,AUDI Q3,35 TDI S line S tronic 110kW,2020,Barcelona,3350,2020-01-01,24,Blanco,C,34900,44448.0,4484.0,1849.0,1616.0,2.68,530/1.525,2.085,Todo Terreno,5.0,5.0,Diesel,1.9680000000000002,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,110.0,,340.0,207.0,9.2,6.1,3.2,4.7,121.0,6400.0,Vendedor profesional,2020-10-26
34,AUDI A3,1.6TDI S Line Edition S tronic 81kW,2016,Castellón,32000,2016-12-01,24,NEGRO,C,21000,31279.0,4241.0,1777.0,1424.0,2.602,365/1.100,1.815,Berlina,3.0,5.0,Diesel,1.598,4,Turbo de geometría variable,Tracción delantera,Automática secuencial,7.0,81.0,,250.0,200.0,10.5,4.4,3.6,3.9,104.0,5000.0,Vendedor profesional,2020-11-06
35,AUDI A1,1.2 TFSI Ambition,2014,Málaga,97024,2014-06-01,12,Blanco Amalfi Metalizado,C,11900,19510.0,3954.0,1740.0,1416.0,2.469,270/920,1.49,Berlina,3.0,4.0,Gasolina,1.197,4,Turbo,Tracción delantera,Manual,5.0,63.0,,160.0,180.0,11.7,6.2,4.4,5.1,116.0,4500.0,Vendedor profesional,2020-11-06
36,AUDI A3,Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW,2019,Barcelona,15786,2019-09-01,24,Gris,C,25200,34976.0,4313.0,1785.0,1426.0,2.637,380/1.220,1.8,Berlina,5.0,5.0,Gasolina,1.4980000000000002,4,Turbo,Tracción delantera,Automática secuencial,7.0,110.0,,250.0,220.0,8.2,6.2,4.3,5.0,114.0,5000.0,Vendedor profesional,2020-11-05
