AUDI A4;Avant 2.0TDI Advanced ed. S-T 110kW;2016;Burgos;98.603 km;04/2016;12 meses;Gris plomo;C;18.990 €;42.927 €;4.725 mm;1.842 mm;1.431 mm;2.820;505/1.510;2.095;Stationwagon;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;110;150;320;215;9,20;5,50;2,90;4,10;109;40,00;Vendedor profesional;06/11/2020
AUDI A6;RS6 Avant 4.2 quattro Tiptronic;2004;Valencia;120.000 km;04/2004;No;Negro;B;23.900 €;102.040 €;4.852 mm;1.850 mm;1.425 mm;2.759;0/0;2.355;Stationwagon;5;5 ;Gasolina;4.172;8;no link (0012);Tracción total permanente;Automática secuencial;5;331;450;300;250;4,70;21,80;10,40;14,60;-;82,00;Vendedor profesional;17/09/2020
AUDI A4;Avant 2.0TDI DPF 143;2010;Cantabria;166.650 km;06/2010;12 meses;Plata;B;10.500 €;34.490 €;4.703 mm;1.826 mm;1.436 mm;2.808;490/1.430;2.090;Stationwagon;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Manual;6;105;143;320;208;9,70;7,00;4,50;5,40;135;65,00;Vendedor profesional;30/10/2020
AUDI A6;RS6 Avant 4.0 TFSI quattro Tiptronic;2014;Barcelona;169.000 km;02/2014;No;Negro;C;49.990 €;130.414 €;4.979 mm;1.936 mm;1.461 mm;2.915;565/1.680;2.565;Stationwagon;5;5 ;Gasolina;3.993;8;Turbo;Tracción total permanente;Automática secuencial;8;412;560;700;250;3,90;13,90;7,50;9,80;229;75,00;Vendedor profesional;06/11/2020
AUDI A3;Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW;2019;Barcelona;16.216 km;07/2019;24 meses;Azul;C;26.000 €;34.976 €;4.313 mm;1.785 mm;1.426 mm;2.637;380/1.220;1.800;Berlina;5;5 ;Gasolina;1.498;4;Turbo;Tracción delantera;Automática secuencial;7;110;150;250;220;8,20;6,20;4,30;5,00;114;50,00;Vendedor profesional;09/10/2020
AUDI A5;Sportback 40 TFSI Sport S tronic 140kW;2019;Barcelona;25.593 km;02/2019;24 meses;Gris;C;35.900 €;50.552 €;4.733 mm;1.843 mm;1.386 mm;2.824;480/0;2.105;Berlina;5;5 ;Gasolina;1.984;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;140;190;320;240;7,50;7,70;5,00;5,90;135;58,00;Vendedor profesional;26/10/2020
AUDI A1;Sportback 25 TFSI Advanced;2020;Barcelona;101 km;08/2020;24 meses;Blanco;C;19.100 €;22.935 €;4.030 mm;1.740 mm;1.410 mm;2.469;335/920;1.630;Berlina;5;5 ;Gasolina;999;3;Turbo;Tracción delantera;Manual;5;70;95;175;191;10,80;5,80;3,90;4,60;110;40,00;Vendedor profesional;05/10/2020
AUDI Q3;35 TDI S line S tronic 110kW;2019;Barcelona;11.300 km;12/2019;24 meses;Blanco;C;34.900 €;44.448 €;4.484 mm;1.849 mm;1.616 mm;2.680;530/1.525;2.085;Todo Terreno;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;110;150;340;207;9,20;6,10;3,20;4,70;121;64,00;Vendedor profesional;26/10/2020
AUDI Q3;35 TDI S line S tronic 110kW;2020;Barcelona;2.580 km;01/2020;24 meses;Blanco;C;34.900 €;44.448 €;4.484 mm;1.849 mm;1.616 mm;2.680;530/1.525;2.085;Todo Terreno;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;110;150;340;207;9,20;6,10;3,20;4,70;121;64,00;Vendedor profesional;26/10/2020
AUDI A4;2.0TDI CD 150 S line edition (4.75);2015;Valencia;86.800 km;01/2015;12 meses;Negro;C;18.970 €;36.235 €;4.701 mm;1.826 mm;1.427 mm;2.808;480/962;2.090;Berlina;4;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Manual;6;110;150;320;216;9,20;5,30;3,80;4,70;124;63,00;Vendedor profesional;29/10/2020
AUDI A3;Sedán 1.6TDI CD Attracted 110;2016;Madrid;73.097 km;06/2016;Sí;Negro;C;14.999 €;26.416 €;4.456 mm;1.796 mm;1.416 mm;2.637;425/0;1.825;Berlina;4;5 ;Diesel;1.598;4;Turbo de geometría variable;Tracción delantera;Manual;6;81;110;250;198;10,90;4,60;3,50;3,90;104;50,00;Vendedor profesional;06/11/2020
AUDI A5;2.0 TDI CLEAN 190HP MULTITR S LINE SPORB 190 5P;2015;Murcia;117.483 km;11/2015;24 meses;GRIS DAYTONA EFECTO PERLA;C;23.800 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vendedor profesional;07/11/2020
AUDI e-tron;55 quattro Black line edition;2020;Barcelona;6.000 km;01/2020;24 meses;Gris;0 EMISIONES;79.900 €;97.685 €;4.901 mm;1.935 mm;1.629 mm;2.928;600/1.725;3.130;Todo Terreno;5;5 ;Corriente eléctrica;0;-;no link (0012);Todo terreno tracción total permanente;Directo, sin caja de cambios;1;300;408;664;200;6,60;0,00;0,00;0,00;-;0,00;Vendedor profesional;30/10/2020
AUDI A7;Sportback 50 TDI quattro tiptronic 210kW;2018;Guipúzcoa;28.000 km;02/2018;12 meses;Gris;ECO;59.100 €;80.073 €;4.969 mm;1.908 mm;1.422 mm;2.926;535/1.390;2.535;Coupe;5;4 ;Diesel;2.967;6;Turbo de geometría variable;Tracción total permanente;Automática secuencial;8;210;286;620;250;5,70;6,40;5,40;5,60;145;63,00;Vendedor profesional;06/11/2020
AUDI A3;Sportback 35 TFSI S line S tronic 110kW;2019;Barcelona;12.357 km;09/2019;24 meses;Blanco;C;25.000 €;35.047 €;4.313 mm;1.785 mm;1.426 mm;2.637;380/1.220;1.800;Berlina;5;5 ;Gasolina;1.495;4;Turbo;Tracción delantera;Automática secuencial;7;110;150;250;220;8,20;6,40;4,30;5,00;117;50,00;Vendedor profesional;06/11/2020
AUDI Q2;1.6TDI Sport edition 85kW;2020;Barcelona;101 km;08/2020;24 meses;Negro;C;27.000 €;30.180 €;4.191 mm;1.794 mm;1.508 mm;2.601;405/1.050;1.870;Todo Terreno;5;5 ;Diesel;1.598;4;Turbo;Tracción delantera;Manual;6;85;116;250;197;10,30;5,00;4,30;4,60;118;50,00;Vendedor profesional;26/10/2020
AUDI R8;4.2 FSI quattro R tronic;2010;Madrid;89.000 km;2010;No;Negro Metalizado;C;55.000 €;135.660 €;4.431 mm;1.904 mm;1.252 mm;2.650;90/100;1.865;Coupe;2;2 ;Gasolina;4.163;8;no link (0012);Tracción total permanente;Automática secuencial;6;309;420;430;301;4,60;20,40;9,60;13,60;325;75,00;Vendedor profesional;06/11/2020
AUDI A6; 3.0Tdi Quattro Stronic Libro Garantía IVA Incl.;2016;Madrid;139.000 km;05/2016;12 meses;Negro;C;24.950 €;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vendedor profesional;04/11/2020
AUDI Q3;35 TDI S line S tronic 110kW;2020;Barcelona;3.350 km;01/2020;24 meses;Blanco;C;34.900 €;44.448 €;4.484 mm;1.849 mm;1.616 mm;2.680;530/1.525;2.085;Todo Terreno;5;5 ;Diesel;1.968;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;110;150;340;207;9,20;6,10;3,20;4,70;121;64,00;Vendedor profesional;26/10/2020
AUDI A3;1.6TDI S Line Edition S tronic 81kW;2016;Castellón;32.000 km;12/2016;24 meses;NEGRO;C;21.000 €;31.279 €;4.241 mm;1.777 mm;1.424 mm;2.602;365/1.100;1.815;Berlina;3;5 ;Diesel;1.598;4;Turbo de geometría variable;Tracción delantera;Automática secuencial;7;81;110;250;200;10,50;4,40;3,60;3,90;104;50,00;Vendedor profesional;06/11/2020
AUDI A1;1.2 TFSI Ambition;2014;Málaga;97.024 km;06/2014;12 meses;Blanco Amalfi Metalizado;C;11.900 €;19.510 €;3.954 mm;1.740 mm;1.416 mm;2.469;270/920;1.490;Berlina;3;4 ;Gasolina;1.197;4;Turbo;Tracción delantera;Manual;5;63;86;160;180;11,70;6,20;4,40;5,10;116;45,00;Vendedor profesional;06/11/2020
AUDI A3;Sportback 1.5 TFSI COD EVO S Line ed. S-T 110kW;2019;Barcelona;15.786 km;09/2019;24 meses;Gris;C;25.200 €;34.976 €;4.313 mm;1.785 mm;1.426 mm;2.637;380/1.220;1.800;Berlina;5;5 ;Gasolina;1.498;4;Turbo;Tracción delantera;Automática secuencial;7;110;150;250;220;8,20;6,20;4,30;5,00;114;50,00;Vendedor profesional;05/11/2020
